,Song,Artist,Lyricist,Composer,Lyric
0,Take a picture -English ver.-,"
NiziU",J.Y. Park “The Asiansoul”・Sim Eunjee・Tim Tan・Ciara Muscat,J.Y. Park “The Asiansoul”・Trippy・Sim Eunjee・Tim Tan・Ciara Muscat,"Wanna wanna wanna Take a picture now, take a picture now Gonna gonna gonna Be unforgettable Wanna wanna wanna Take a picture now, take a picture now Gonna gonna gonna Be unforget I wanna let you know How much I love it when I feel your arms around me Holding me I'm gonna give you all my love WithU I got it all all And this I'll never let go I got this feeling in my heart and I think I like it And it's falling down all over me Whenever we're together, I feel like I can fly Let's cherish every moment and go One for our love Two for our youth Three for all these precious memories that we're making Four for every smile Five cuz we are young and wild Let's remember this forever Wanna wanna wanna Take a picture now, take a picture now Gonna gonna gonna Be unforgettable When you give me that feeling Wanna give you that feeling Ahhh There's nothing I want more Wanna give it to you When you give it to me Cuz you make me wanna do anything Can you see So you I'll never let go I feel alive when I'm with you and I know I like it And it's burning up inside of me Whenever we're together, you make me feel so right Let's celebrate this moment and go One for our love Two for our youth Three for all these precious memories that we're making Four for every smile Five cuz we are young and wild Let's remember this forever Whenever I look at you You know you make me go ooh-ahh I say la la, when I have you around Take a pic, take a pic You're my merry-go-round Whenever I look at you You know you make me go ooh-ahh Wanna remember everything we do and we can't be stopped let the lights pop I'll be here right next to you when it gets dark and gets so cold Never worry and believe me, I won't leave you lonely I don't know yet what tomorrow will bring But I'm ready to take that chance One for our love Two for our youth Three for all these precious memories that we're making Four for every smile Five cuz we are young and wild Let's remember this forever Wanna wanna wanna Take a picture now, take a picture now Gonna gonna gonna Be unforgettable Wanna wanna wanna Take a picture now, take a picture now Gonna gonna gonna Be unforgettable"
1,Poppin' Shakin' -English ver.-,"
NiziU",Mayu Wakisaka,Woo Min Lee “collapsedone”・ Ollipop・ Hayley Aitken,"La la la la la la la la  la La la la la la la la la La la la la la la la la la.. Hey, Look！ You know this is where I'll always be Show time The kind of fun that you've never seen What is it？ The gloom in your face And just like a red balloon pop, try to exhale Pop！ Pop！！ Pop!!! Suddenly there will be in front of your eyes a new world Ki-ra Ki-ra future oh baby Can you see it glow？ The break of dawn Welcome to the stage It's time to GO！ Da Dancing Day&Night！ Repeat the Happy tune！ Feel it up, feel it up, feel it up！ Need your love！ La la Poppin' shakin' Make you forget the time So come here we need U！ Join us, join us, join us！ start it up！！ Oh just have FUN！ La la la la la la la la la La la la la la la la la La la la la la la la la la.. La la poppin' shakin' La la la la la la la la la La la la la la la la la La la la la la la la la la.. We need U all the time Let's think when nothing seems to be going right Always I promise I will be by your side Call me Even in the middle of the night Text me We can chat and I will stand by tell me tell me Respect is what we've got Everyday's a holiday You know You can make each day count Make it really fun and creative We are looking forward！ We are moving forward！ welcome to the stage It's time to GO！ It's such a happy time！ You got a Lucky Break！ Fill it up, fill it up, fill it up！ Need your love！ La la poppin' shakin' You know always we're with U When we are together Singin out, singin out, singin out！ Shake it up！ Oh just have FUN！ La la la la la la la la la La la la la la la la la La la la la la la la la la.. La la poppin' shakin' La la la la la la la la la La la la la la la la la La la la la la la la la la.. We need U all the time I found you You found me Cuz nobody should be all alone Yes, always be Joyful and I'll stay thankful Let me share Happiness We can share it all Let's get together！ It's time to GO！ Da Dancing Day&Night！ Repeat the Happy tune！ Feel it up, feel it up, feel it up！ Need your love！ La la Poppin' shakin' Make you forget the time So come here we need U！ Join us, join us, join us！ start it up！！ Oh just have FUN！ La la la la la la la la la La la la la la la la la La la la la la la la la la.. La la poppin' shakin' La la la la la la la la la La la la la la la la la La la la la la la la la la.. Ah always we need U！"
2,FESTA,"
NiziU",KENTZ,Oliver Fernstrom・Jonathan Bratthall-Tideman・Frankie Day,"Welcome to the... What's up 準備は出来てる？ 夢のドア Knock it 心Singing 弾むFeelingがここのチケット 全力でEnjoyする それがルール 嫌な事 Forget いらない Worry Want a happy end The way to the dream Let's get on the ride Just open your mind, mind, mind One 全員がスターになる Two 可能性は Universe 止まらない Music Turn it up more Welcome 光舞い 始まる Show, show, the show カラダ動いたら 幕開けのSign, count down Lose control！ 今すぐ飛び出そう Welcome to the festa Ahh オトの鳴る方へ Come on Wake up and join us for the festa Ahh 聴こえる ココロ躍るSound Here we come to ya You know we're never gonna stop ハジけて Bounce around 騒いで Up & Down 楽しさは No limit サイコー超えていこう Welcome to the festa Smileはループする Merry-go-round Heartbeat dancing all through our town 皆の瞳で 照らして このStage Sunより高く Jump so high Moonの様に光る So bright Hey Magicなday 日常を忘れて 雲のParade 風Singして You just clap your hands You just clap your hands, hands, hands 元気 満タンにCharging Now let's move 地球の裏側まで 届けよう Freedom 描いて 見せるよ World, world, new world 凹んだハートに愛を 詰めて膨らまそう Go catch it！ 今すぐ羽ばたこう Welcome to the festa Ahh オトの鳴る方へ Come on Wake up and join us for the festa Ahh 聴こえる ココロ躍るSound Here we come to ya You know we're never gonna stop ハジけて Bounce around 騒いで Up & Down 楽しさは No limit サイコー超えていこう Welcome to the festa Fun 終わらない This paradise フィナーレはない Endless time 思い出持ち帰って 笑顔がお土産 Happiness 続く Forever U ready？ Welcome to the festa Ahh オトの鳴る方へ Come on Wake up and join us for the festa Ahh 聴こえる ココロ躍るSound Here we come to ya You know we're never gonna stop ハジけて Bounce around 騒いで Up & Down 楽しさは No limit サイコー超えていこう Welcome to the festa"
3,Wonder Dream,"
NiziU",KENTZ,Sim Eunjee・Lee Hae Sol,"Umm Gonna have a little fun Gonna have a little Have a little Have a little fun Umm Gonna have a little fun Gonna have a little Have a little Have a little fun Can you feel it？ I hear talking talking ここはドコドコ？ Eggs are shaking shaking こころ、ドキドキ！ Let's start jumping jumping たのしいトキ みんなに Hello, hello Melody 鳴らそう 見渡す、前に広がる Ohh 笑顔が咲いてる Let's see ohh, it's so cute Looking good, it's so cool Ahh Ahh Ahh 楽しむだけ Time to update コドモ、オトナ 笑顔から繋がる Why don't you come and join, All love & joy 夏も冬も 楽しい、続く All year long Now here we go, go, go, go 遊び尽くそう Fun, fun, fun We never stop キミに与えよう Luv, luv, luv Level up ほら集まろう You, you, you It's magical ココは Wonderland So wonderful, take my hand, hand Ra-pa-pa Ra-pa-pa Ra-pa-pa 揺らすハート Ra-pa-pa Ra-pa-pa Ra-pa-pa かかる魔法 胸がトキメキ どこまでも 夢がキラメキ 続く Wonder dream Are you ready？ 笑うだけの時間 Got a feeling しあわせの予感 Ahh Ahh Ahh すぐ遊びたい Have a good time キミとワタシ 心から繋がる Why don't you come and see, All love & peace 過去も未来(あす)も 毎日を祝うCalendar Now here we go, go, go, go 遊び尽くそう Fun, fun, fun We never stop キミに与えよう Luv, luv, luv Level up ほら集まろう You, you, you It's magical ココは Wonderland So wonderful, take my hand, hand 迷い込んだまま 覚めたくない、まだ 手を取らなくても 繋がってる Heart 遊び尽くそう Fun, fun, fun We never stop キミに与えよう Luv, luv, luv Level up ほら集まろう You, you, you It's magical ココは Wonderland So wonderful, take my hand, hand Ra-pa-pa Ra-pa-pa Ra-pa-pa 揺らすハート Ra-pa-pa Ra-pa-pa Ra-pa-pa かかる魔法 胸がトキメキ どこまでも 夢がキラメキ 続く Wonder dream"
4,Twinkle Twinkle,"
NiziU",Mayu Wakisaka,Hotsauce・B-rock・J-lin,Twinkle little star 見えたから 明日はきっと Fine day 寝る前に 伝えたい Everything will be alright I know I know 心配しない Want you to know いつもの君で Do your best 信じてるよ When I'm with you I shine so bright ずっとそばにいたい 輝く方へ 手と手取って 一緒に行こう Loving the twinkle in your eye 目と目が合うたびに 元気を くれる You're my best friend Twinkle twinkle in your eye Twinkle twinkle in my eye キラキラした夢を 今夜は見よう Twinkle twinkle in your eye Twinkle twinkle in my eye 明日、顔見て言うね 大好きだよ 聞こえるよ 君の鼓動 Do you know I feel the same 泣ける日も 笑う日も どんなことも Let's share I know I know 君となら Want you to know 最高な自分になれる 信じていて I love the way you shine so bright まるでダイヤモンドみたい ぶつかり合って 磨かれて 輝くの You give me the twinkle in my eye 目と目が合うだけで 気持ちが わかる You're my best friend Twinkle twinkle in your eye Twinkle twinkle in my eye キラキラする時を ありがとう Twinkle twinkle in your eye Twinkle twinkle in my eye 声にして伝えよう 大好きだよ 誰よりも近くにいて どんな時も 優しい君を 抱きしめたい Hey look me in the eye ずっと You and I Yeah we're gonna shine When I'm with you I shine so bright ずっとそばにいたい 輝く方へ 手と手取って 一緒に行こう Loving the twinkle in your eye 目と目が合うたびに 元気を くれる You're my best friend Twinkle twinkle in your eye Twinkle twinkle in my eye キラキラした君が 大好きだよ
5,9 colors,"
NiziU",Kanata Okajima・Soma Genda,earattack,"ねえきっと 私たち出逢った意味 “運命”って 今だったら わかるよ どんなに 不安な日も 君がいたから 私 笑えたの Uh 君は希望のSunlight 照らされるたび Uh まっさらな心に 愛しい色が 増えていく 君と出逢って 心開いて 煌めく視界は Panorama 乗り越えるたび 光纏う 9 colors 一緒に… I'll be the hope, be the dream with you わからないことだらけの私も 誰よりも 君のこと知ってるよ 9つのcolors 奇跡のPallet 隣にいるから 輝けた Uh 強く優しいSunlight 時に眩し過ぎて Uh それでもそばにいたいの 誰よりも 大切だから 君と出逢って 夢が育って 今なら未来も鮮やか 乗り越えるたび 磨かれていく 9 colors 一緒に… I'll be the light, be the light with you I'll be there for you ずっと I'll be there for you この先もほら一緒だよ I'll be there for you ずっと I'll be there for you これからも We last forever 支え合おうね 君と出逢って 心開いて 広がる世界は Panorama 乗り越えるたび 光纏う 9 colors 今度は… I'll be the hope, be the dream with you"
6,Need U,"
NiziU",Kanata Okajima・Soma Genda,Kanata Okajima・Soma Genda・MEG,"どこにでもいるような 普通の Ordinary Girls 突然に変わった Days 見守ってくれたから ここまで来れたんだよ Wanna tell you ありがとね Baby Baby Baby でも不安になる Midnight この気持ち一緒なの？ 聞こえてる？ My voice 感じてる Your love！ 離れてても そばにいるよ I need U どんな未来も キミとなら特別な気がするよ I'm with you 会えない時を超えて 育ってく Our dream この歌に乗せて I need U... キミじゃなきゃ Need U... もう待てないよ！ I need U... ぎゅっと手と手を繋いで I'm with you, I'm with you, I'm with you そう信じてるから なんとなく 寂しくて スワイプしちゃう SNS 指先じゃ リアルじゃない Yeah, I wanna know where you now 楽しいも悲しいも もっと シェアしたいよ Future この気持ち 届いてるの？ Baby Baby Baby わかんなくなる なんで！ 大好きは本当なの？ いつの日か Our bond 確かめにいこう キミの街へ 会いに行くよ I need U どんな未来も キミとなら特別な気がするよ I'm with you 会えない時を超えて 育ってく Our dream この歌に乗せて I need U... キミじゃなきゃ Need U... もう待てないよ！ I need U... ぎゅっと手と手を繋いで I'm with you, I'm with you, I'm with you そう信じてるから きっと試されてる So believe ya, believe ya 愛の深さ キミからの Likeに Pay back, pay back I want you to see 会えない時こそ 研ぎ澄まされるの 夢見たいからもっと信じてるね I'm believer なんでこんなに 涙が出るんだろう でもこれも Memories 最高に Special 乗り越えたら虹になるよ I need U どんな未来も キミとなら特別な気がするよ I'm with you 会えない時を超えて 育ってく Our dream この歌に乗せて I need U... キミじゃなきゃ Need U... もう待てないよ！ I need U... ぎゅっと手と手を繋いで I'm with you, I'm with you, I'm with you そう信じてるから I'm I'm with you, so come with me yeah I'm I'm with you, I need U, I need U！！ I'm I'm with you, so come with me yeah I'm I'm with you, I need U, I need U！！"
7,Chopstick,"
NiziU",J.Y. Park “The Asiansoul”・Yuka Matsumoto,J.Y. Park “The Asiansoul”,"時針のない分針 意味がないでしょ ご馳走のないParty 地味になりそう 君が聴かない歌じゃダメでしょ Cuz everything I do, I do for you 君へ 届けて この気持ちを 笑顔に できますように すべて 見せて あげる 私 でも 伝えきれるものかな？ Like a chopstick 1本じゃ 掴めない Like a hand to clap ひとりじゃ つまらない Like a pretty shoe チグハグじゃ 心配 Like a wing to fly 君としか 飛べない That's why I need you I always wanna be with you 同じ気持ちでいて That's why I need you I always wanna be with you 同じ明日を見て 音楽のないスピーカー まるで意味ない バッテリーのない携帯 役に立たない 君が観ないStageには意味がない Cuz everything I sing, I sing for you 前で 後(あと)で 支えてるから 笑顔に できる ものなら 君がいなきゃ いけない訳なんて うまく言えない だけど Like a chopstick 1本じゃ 掴めない Like a hand to clap ひとりじゃ つまらない Like a pretty shoe チグハグじゃ 心配 Like a wing to fly 君としか 飛べない One Team that's what we are Teamwork that's what we need Pass assist and shoot rebound Ball keeps moving around and around いないと 全部ないの！ 誰にも 代われないよ ヤダな 意味がないよ 君じゃないとね 一人なんて Incomplete 自信がない Can't compete 2ひく1は 1でもZero Supermanより 君だけがMy hero 夢の答え 心の糧 君とTopへ それがJob 最強のタッグ Ain't nobody can stop 勝利して Let the champagne pop 君へ 届けて この気持ちを 笑顔に できますように すべて 見せて あげる 私 でも 伝えきれるものかな？ Like a chopstick ほら 一緒だったら Like a hand to clap 君と鳴らしたい Like a pretty shoe 揃え出かけたい Like a wing to fly 一緒に 飛べる 彼方 That's why I need you I always wanna be with you 同じ気持ちでいて That's why I need you I always wanna be with you 同じ明日を見て"
8,I AM,"
