,Song,Artist,Lyricist,Composer,Lyric
0,夏、エンドロール,"
手羽先センセーション",多田慎也,多田慎也,どいて 夏が往く いつでも寂しそうね コンビナート ツクリモノを作るために動いている 始まりは終わり 終わりは始まり それはまるで 数の列のように ひとつひとつ 役目を持って 繋がっている 君が触れたとこから 変わったらいいな 好きになるってそういうこと？ ねえきっとそうだ そうだ 走れ この熱い風の中を 煌めいて 煌めいて ah 焼きついた いつかの理想まで Let it be 夏が 私の中の何かを 連れ去っても 消し去っても ah 知らないなんてやだ それははじまりの夏、エンドロール まるで白夜のように 薄明るく狭い部屋の中で どうでもいいことばかり話してたよね 永遠のような 一瞬のような 止まることは 許されない世界 心よりも 奥の方がまだ痺れてる 忘れられるくらいなら 壊されたいな 一生が無理ならば 今抱いて ぎゅっと ぎゅっと きらり 雨上がる街に色を 描きたして 駆け出して ah 自由とは 守るべきものだった let it be 夏は さよならさえ言わぬまま 過ぎ去ってく 塗り替えてく ah 失ってわかる それははじまりの夏、エンドロール 連続という 抗いようもない運命を 振り切ったような そんな夏の終わり どこに行こう 何を見よう 今だけが此処にある ねえきっと そうだ そうだ 走れ この熱い風の中を 煌めいて 煌めいて ah 焼きついた いつかの理想まで Let it be 夏が 私の中の何かを 連れ去っても 消し去っても ah 知らないなんてやだ それははじまりの夏、エンドロール la la la
1,刹那ストリングス,"
手羽先センセーション",多田慎也,多田慎也,回遊魚のように 同じ場所を旅してた 夜の海止まっちゃいけないから 変わらない 揺るがない物語があるとして それが愛か 誰が愛か そんなこと考えてる 息が止まるくらいの 堕ちるような出会いだった 忘れてしまうことなんて できない できない できない 恋は 一瞬 一瞬 君の声ストリングス もうここから逃げることなんて 不可能 不可能 不可能 まるで 閃光 閃光 切ないよストリングス もういっそ悲しみも全て 抱きしめてよ 大切な「今」を感じられるように 痛いくらい 痛いくらい お願い 運命も見て見ぬ振りするってわがままだ もう君しかいないと 知ったくせに 自分をそう捨てるほど 鮮やかに感じる これが愛か 君が愛か そんなこと考えてる 盗まれたように去った 二度とない季節だった 言葉で表すなんて できない できない できない 風を 一瞬 一瞬 切り裂いてストリングス もうなかったことにするなんて 不可能 不可能 不可能 まさに 閃光 閃光 目も眩むストリングス 思い出にもならないほどに さらけ出してよ 乱暴な愛の 傷ならいいから 独りに しないでね お願い 境界線 そこで叫んでる もう戻れない あの頃の私に 恋は 一瞬 一瞬 君の声ストリングス もうここから逃げることなんて 不可能 不可能 不可能 まるで 閃光 閃光 切ないよストリングス もういっそ悲しみも全て 抱きしめてよ 大切な「今」を感じられるように 痛いくらい 痛いくらい お願い
2,おいてけぼり,"
カミングフレーバー",kazuei,多田慎也,ねぇ恋人よ この声が聴こえますか？ 僕は、今も逢いたくてしかたない どれだけの間を 君と過ごして来れただろう まだ もっと そばにいて ほしかった 夢や将来へと 連れてく列車が違ってたなんて 今更ね 気づくなんて残酷だ 忘れてくの？ 日々の流れに身を任せると 葬られてしまう 別々の道歩く二人の記憶 ねぇ恋人よ 君だけで決めた未来 間違ってないよと 言い聞かせてまた泣いて ねぇ恋人よ この歌が聴こえますか？ ホントは、ずっと逢いたくてしかたない 曖昧な態度は 少し前から気付いてたけど まさか それがその 決意だった 待ち合わせた駅に 何度も通り過ぎてく車窓を 目で追って探す クセがついてた 忘れるかな？ 繋いで照れて笑って泣いて はしゃいだ日々も 大切なモノと この手を離した ねぇ恋人よ 僕たちがいたこの街は 変わらないまま 動いてるはずなのに ねぇ恋人よ 君が足りないだけなのに こんなに違う 世界でおいてけぼり ビルで見えない空の下で 僕の影も見えないよね この街の季節が色付いても 気付けない 沢山の思い出が 何よりも辛くなって 一緒に見た景色 どれも滲んで 溢れていく きっと二度と言えない 胸にしまった『今も好き』 せめていつか あの笑顔に 届け
3,愛だよね!?,"
アクアノート",多田慎也,多田慎也,アクアブルーに ココロ切ないや まだ会えない日々だから なんでもない 言葉こそ やけに やけに 輝いたり だから この1分も1秒も 大切にしなくちゃね どんな今も きっと 無駄じゃないと信じて 何もかも偶然まかせじゃ 幸せ逃しちゃうね 猫のような自由さで 近づいて 魔法かけて 3 2 1 Go！！！ こっちを向いてよ Darlin' Darlin' 恋してる 逃げたりせずに 照れたりせずに 私だけを見て ハグして キスして Darlin' Darlin' 愛してる 出会った日から 胸が痛いのだ ねえ それって愛だよね！？ 風の音に怯える毎日も 君をそばに感じてる あれっきりの約束も いつかきっと 叶えたい 涙流したあとは 今よりも素敵になれるんだから 私のことちゃんと つかまえていてよね 秘密のロマンスの続きを 2人で始めよう わがままだって許してね ねえどうやって 甘えますか？ 3 2 1 Go！！！ かまってかまって Darlin' Darlin' 恋してる 冷たくしたら よそ行っちゃうから 私だけを見て ワクワクさせてね Darlin' Darlin' 愛してる 微笑むだけで キュンとしちゃうなら ねえ それって愛だよね！？ ブルーブルー アクア色 青春ってこんな色 二度とないこの瞬間を焼きつけて 魔法かけて3 2 1 (Hi！！) 3 2 1 (Go！！！) こっちを向いてよ Darlin' Darlin' 恋してる 逃げたりせずに 照れたりせずに 私だけを見て ハグして キスして Darlin' Darlin' 愛してる 出会った日から 胸が痛いのだ ねえ それって愛だよね！？ だよね！？
4,恋心クレッシェンド,"
アクアノート",多田慎也,多田慎也,このキモチをはやく 素直に伝えなくちゃ 君と出会ったこの季節 終わる前に 星占いで見た ラッキーカラーより 私色で輝きたいよ すれ違うだけでほら ドキドキ聞こえちゃいそうだ 気づいて 気づかないで 明日は もうちょっと 近づいてみようか ah もう止められないよ 恋心クレッシェンド 私だけを見つめてね darlin' 包み込むような声も はにかむような笑顔も 独り占めできたら (もっともっと輝く) ねえ 冷たくしないで 切なさがクレッシェンド わがままでも 許してね darlin' 鼓動のリズムに乗せて イントロが始めれば キラキラ光り出す ハート アクア色ね LOVE YOU いつの間にか大きくなってたこの想いが 目に映る景色も 変えてしまうなんて 雨上がりの空は 澄んでて まっすぐで そんな風に恋をしたいよ 見るだけで 会うだけで よかったあの頃は過ぎて 横顔だけじゃヤダな こんな 自分 私すらも知らない ah そう 君が好きだよ 恋心クレッシェンド 私だけに振り向いてね darlin' 斜め後ろじゃなくて 隣で見ていたいから 支え合いたいから (もっともっと輝く) ねえ 誰かを見ないで 切なさがクレッシェンド 私だけが運命よ darlin' 甘くてどこか苦い 君との恋のメロディー ドキドキ溢れ出す 涙 アクア色ね LOVE YOU 友達から 卒業させて 君とオトナになりたいよ 『好きです』 止められないよ 恋心クレッシェンド 私だけを見つめてね darlin' 包み込むような声も はにかむような笑顔も 独り占めできたら (もっともっと輝く) ねえ 冷たくしないで 切なさがクレッシェンド わがままでも 許してね darlin' 鼓動のリズムに乗せて イントロが始まれば キラキラ光り出す ハートアクア色ね LOVE YOU
5,青春日和,"
アクアノート",多田慎也,多田慎也,woo ah (青春はHop Step Jump de LOVE LOVE LOVE) 新しい季節やってきた (タリラリラ チョコレート開けるような気分のように) 駆け出すハートを抑えきれなくて キラキラして 恋せよ乙女 神様はいつでも気まぐれ (タリラリラ 心ここにあらず ソワソワして) 甘い匂いする 人混みを抜けて 今君に会いに行く わざとしてみる遠回り 誰かに会ったらどうしよう ドキドキってカラフル あっという間にキャンバスは染まる よね？ (Let's Go！！) 青春日和(タリラリラ) うららかね 新しい物語(oh oh oh) めくって 風にスカートがひらり(ラリラリラ) Sweetなメロディー 恋したい人(Everybody) コノユビトマレ ワガママな心解き放て (タリラリラ チョコレート開けるような気分のように) 気づかれないくらい 切った前髪 小さな嘘暴いてね 噂話の中の君 本当のトコはどうですか？ 訊きたいし訊けない あっという間に時間は過ぎる よね？(Let's Go！！) 青春日和(タリラリラ) うららかね 知らない横顔に(oh oh oh) 出会って 舞い上がるよふわり(ラリラリラ) Sweetなメロディー 恋したい人(Everybody) コノユビトマレ (コノユビトマレ) 甘くて苦いこんな恋の味 ねえ私とじゃダメですか、、、？ ちゃんと近づいてね 抱きしめてね ハート もっと (oh oh oh woo woo) 青春日和 切ないね こっちを向いて 微笑って ため息もやがて bitterなメロディー 恋したいから 君と 青春日和(タリラリラ) うららかね 新しい物語(oh oh oh) めくって 風にスカートがひらり(ラリラリラ)Sweetなメロディー 恋したい人(Everybody) コノユビトマレ
6,寂しいんおまえや,"
Berry Better!!",中村フー,多田慎也,ただただありがとう さよならは嫌だけど 会えないわけじゃないから 涙は隠そう 見た目いいのに どこか抜けてる そんな君がなぜか愛おしい どんなに離れてもたまには思い出してね？どうか変わらないで 憧れのあの場所 僕らもすぐに行くから それまで少しのさよなら ただただ悲しい 別れなような気がして あんなに一緒にいたのに すぐに会えたから… いつも優しい 時に厳しい そんな君に支えられてた どんなに辛くても笑うことをやめないで 君が選んだ道 夢に見たあの場所 僕らもすぐに行くから さよならだなんて言えないよ 本当は寂しいよ…格好悪いから そんなこと思わないようにしてるよ ただ… どんなに離れてもたまには思い出してね？どうか変わらないで 憧れのあの場所 僕らもすぐに行くから それまで少しさよなら どんなに辛くても笑うことをやめないで 君が選んだ道 夢に見たあの場所 僕らもすぐに行くから さよならだなんて言えないよ
7,珈菲ワンサイドD.C.,"
煌めき☆アンフォレント",多田慎也,多田慎也,君がよく行く 秘密のカフェを 見つけたのは 夏の終わりの頃 見つからないように 端の席に座って 書きもしないノート開く クラスメイトとどこか違う 雰囲気が好き コドモのような オトナのような そんな笑顔そばで見れたなら 片思いカフェ 恋は甘くて ほろ苦いラテね なんでなんで こっち向いてくれないの？ 片思いカフェ いつも遠くで見ているだけね ランプの下 甘いシロップ受け取って 私と恋してみませんか？ 君がみんなに好かれる理由(わけ)も 知ってるけど 特別でいたいよ 人にも言えない 悲しみがあるなら 私がそっと抱きしめたい 時々ほらどこか寂しい顔をするよね 強がってるの？ 我慢してるの？ どんなときもそばにいれたなら 片思いカフェ 恋は甘くて ほろ苦いラテね なんでなんで 愛に気づいてくれないの？ 片思いカフェ いつも遠くで見ているだけね ミルクのハート いつまでも壊れないで 私と恋してみませんか？ 星の数ほどの「好き」 本当は近づいて 愛の言葉 ささやけたら 暮れゆく街に 恋人たちの伸びていく影 いつかきっと そんな夢を見ながら 片思いカフェ 恋は甘くて ほろ苦いラテね なんでなんで こっち向いてくれないの？ 片思いカフェ いつも遠くで見ているだけね ランプの下 甘いシロップ受け取って 私と恋してみませんか？
8,Step and Go!!,"
ときのそら",多田慎也,多田慎也,昨日から止まったような時計 幼い頃をふと思い出した 「もう心配しなくてもいいよ」 あの優しい声がそばにあったから 恋に傷ついて 道に迷った日もあったけれど いつだって探してたのは 輝けるはずのbetter day Everyday 解き放て ためらいがちなそのEmotion 時代のせいにしたってつまらないよ Everyday 君であれ 立ち止まる日もあるけれど ねえきっと 君は大丈夫 Step and Go！！ Step and Go！！ 誰もが記憶の中にある 大事なあの笑顔 抱きしめてる いつか君にまた会えたなら 素直にちゃんと 気持ち伝えたい 自分自身で引いた ボーダーラインならさあ飛び越えて いつだって描いていこうよ 君らしい色でbetter day Everyday きらめいて 今動き出したEmotion 誰かのせいにしたってつまらないよ Everyday らしくあれ やがてこの雨も上がって ねえきっと 君は大丈夫 Step and Go！！ wow wow 挑んだ数だけ wow wow 涙は出るけど wow 止まない雨はないように 君ならできるよ Step and Go！！ Everyday 解き放て ためらいがちなそのEmotion 時代のせいにしたってつまらないよ Everyday 君であれ 立ち止まる日もあるけれど ねえきっと 君は大丈夫 Step and Go！！ Step and Go！！
9,Friend,"
COLOR CREATION",多田慎也,多田慎也,ありがとう 繋いだ手も ありがとう 忘れないよずっとずっと 描ききれなかった未来は この胸の中にあるから もう一度 会える日を 信じて今を超えよう oh oh oh oh どんな悲しみも 生きてればこそさ say hello いつか 誰かと痛みわかち合えるだろう だからどんな時も(everyday) 僕らしくあれ Don't look back friend yeah yeah yeah どんな夜でもやがては明けていくんだと 君が僕に教えてくれたんだよ だからどんな時も(everyday) 君らしくあれ Don't be afraid afraid life goes on ごめんねも伝えたかった ありがとう でもそれがきっと全て 君も同じ空見てるかな 一緒にいた遠い街で なんて呼んだらいいんだろう こんな特別な人 oh oh oh oh どんな悲しみも 生きてればこそさ say hello いつか 誰かと痛みわかち合えるだろう だからどんな時も(everyday) 僕らしくあれ Don't look back friend yeah yeah yeah どんな夜でもやがては明けていくんだと 君が僕に教えてくれたんだよ だからどんな時も(everyday) 君らしくあれ Don't be afraid afraid life goes on 守りたい 守りたい 君と選んだ全てを 何気ない思い出も 微笑みも 君がくれた勇気をいつも胸に say hello できないことなんて どこにもないと知ったよ だからどんな時も(everyday) あるがままに Don't look back friend yeah yeah yeah 今日がたとえ不安や孤独の中にあっても 決して色あせないのはその笑顔 だからどんな時も(everyday) あるがままに Don't be afraid afraid life goes on
10,Summer☆Wave!!!,"
SUPER☆GiRLS",多田慎也,多田慎也,あれから会えなくなるなんてね なんて神様は意地悪なの？ でもね 世界のどこにいたってね 君の声 聴こえてたんだよ 優しさの意味に気づいたよ きらめいた潮風 身体中に吸い込んで 夏が今 扉を開けて また君に会える！！ キラリ☆ Summer Wave！！ Summer Wave！！ 好きだなんて 言えないほど 夏の君は 眩しすぎるポップスター Summer Girl！！ Summer Girl！！ あの頃とは まるで違う 気のせいかい？ なぜ急に そんな綺麗になった？ 胸ざわめく Summer Wave！！ 誰にも予想できないこと まるで運命のイタズラだね 独りで過ごした夜の数だけ 想いは募っていくんだよ 当たり前じゃなかったね 昨日 いつだって 僕は味方だって言ったよね？ 嗚呼なんて ロミオとジュリエット 抱きしめてあげる！！ キラリ☆ Summer Wave！！ Summer Wave！！ 時よ止まれ 魔法かけて 灼けた肌に クラクラするポップスター Summer Girl！！ Summer Girl！！ 微笑むのは 誰のためだい？ ねえ僕に 振り向いて 伸びた髪揺らして 一度きりの Summer Wave！！ この胸を吹きすぎる風のような 君と僕を繋いでくメロディー 誰もがほら 恋をして オトナになってく 「会いたかった」 キラリ☆ Summer Wave！！ Summer Wave！！ 好きだなんて 言えないほど 夏の君は 眩しすぎるポップスター Summer Girl！！ Summer Girl！！ あの頃とは まるで違う 気のせいかい？ なぜ急に そんな綺麗になった？ 胸ざわめく Summer Wave！！
11,フレーフレーLOVE,"
ときのそら",多田慎也,多田慎也,ひとりぼっちの夜 寂しかったよね？ 誰かの言葉チクチク 大丈夫 頑張った君のその強さを 私は知ってるから どんな答えが君を襲っても 私 ずっと味方だよ 君にフレーフレーフレーフレー 今 追いかけて いつだって 君のそばで見てるよ oh フレーフレーフレーフレー 胸 ときめいて 他の誰でもない 君らしさが 大好き 周りが眩しくって 悔しかったよね？ 強がってもハートシクシク もうすぐだよ 絶対神様は見てるよ 君のそんなひたむきさを チャンスは突然舞い降りるんだって 今日がその日かもしれない 君にフレーフレーフレーフレー 夢 抱きしめた そんな君を誇らしく思うよ oh フレーフレーフレーフレー 胸 きらめいて まっすぐな瞳と 君らしさが 大好き そう君だけの物語よ 運命の風が今 そのページをめくってく 君にフレーフレーフレーフレー 今 追いかけて いつだって 君のそばで見てるよ oh フレーフレーフレーフレー 胸 ときめいて 他の誰でもない 君らしさが 大好き
12,ときめきHighレンジ!!!,"
SUPER☆GiRLS",多田慎也,多田慎也,ときめいて きらめいて… Hello！！ Hello！！ まだ知らない私 (ワクワク) 制服のリボンを揺らして チャイムをくぐれ Hello！！ Hello！！ ドキドキが止まらない (ソワソワ) 君とすれ違う為の準備 可愛くなあれ その笑顔 その角度 私しか知らない 高鳴るハートで yeah yeah yeah (oh oh) キラリ キラリ キラリ ときめきは Highレンジ！！！ どんなに高い壁だって 乗り越えるよEmotion (oh oh oh) 走れ 走れ 走れ きらめくよ Highレンジ！！！ (oh oh) ひらり青春の風切って (はやく！！) 形あるものはやがて 姿変えるけれど 情熱の音色だけは Highレンジ！！！ ときめいて きらめいて… Hello！！ Hello！！ まだ知らない気持ち (ワクワク) やあ ごきげんよう はじめまして この指止まれ 振り向いて 近づいて 友達じゃもうやだよ ジリジリハートで yeah yeah yeah (oh oh) キラリ キラリ キラリ 気づかれちゃうHighレンジ！！！ 少しくらい大胆に 進め恋のパレード (oh oh oh) 届け 届け 届け 「大好き」はHighレンジ！！！ (oh oh) 輝きたい 私色で (強く！！) 心に魔法をかけて 真昼のシンデレラ 過ぎ去った風の音も Highレンジ！！！ 早く気付いて いや気付かないで 揺れ動く気持ち いつでも 君のことしか見えない キラリキラリキラリ ときめきはHighレンジ！！！ どんなに高い壁だって 乗り越えるよEmotion (oh oh oh) 走れ 走れ 走れ きらめくよHighレンジ！！！ (oh oh) ひらり青春の風切って (はやく！！) 形あるものはやがて 姿変えるけれど 情熱の音色だけは Highレンジ！！！ ときめいて きらめいて…
13,自分革命,"
Fullfull Pocket",多田慎也,多田慎也,Don't Stop！！ 駆け出した 静かな革命前夜 Tic Tac 情熱が 今にもハレツしそうだよ 光 心に差し込んで ひとりきりの昨日 包み込んだ 出会えた 仲間に 笑顔に 強くなれたこと 忘れないよ いつだって 好きなものを ただ素直に 好きだって言える それは自分革命 是が非でも 君が好きだ そんな私ごと好きだ 変わること恐れないで (振り向かないで) 私らしく ただまっすぐ 走り出せたら それは自分革命 大切な人の景色 変えちゃうくらい キラキラキラ もっと 変わりたいね Don't stop！！ 行進だ 集まれ革命戦士 Tic Tac 高鳴った ハートを強く抱きしめて ひとりひとり増えてった 夢を分かち合う 大事な同志 心が叫ぶよ どうしても そこに行きたい！と あきらめないよ 絶対！ 高い壁も 苦難でさえも 乗り越えていく それは自分革命 見慣れてた街の景色 変わり始めた キラキラキラ 愛を灯したいね 鳴らせカスタネット 好きなものを ただ素直に 好きだって言える それは自分革命 是が非でも 君が好きだ そんな私ごと好きだ 変わること恐れないで (振り向かないで) 私らしく ただまっすぐ 走り出せたら それは自分革命 大切な人の景色 変えちゃうくらい キラキラキラ もっと 変わりたいね
14,キラメキサマー,"
Fullfull Pocket",多田慎也,多田慎也,YA-YA Summer Summer Summer de I LOVE YOU！！！ ねえさっきからどっち向いてんの 可愛い子でも？(君だよっ！！！) ワンピが君の好きな色なのちゃんと気づいてる！？(OK！！) ちょっと鈍いとこも全部 愛してあげる よそ見してる暇などないよ 恋は常に進行形 Hey！！ You！！ もっとキラメキたいSummer！！ もっとトキメキたいSummer！！ この夏も キミのこと「好きだよ」 Hey！！ You！！ ずっと見つめてたいから ちゃんと微笑んでいてね 太陽にキスをして 恋しよう knock knock してね My heart ねえ君の理想に近づくよ どんな子がタイプ？(君だよっ！！！) 前髪を切りすぎたことだけは内緒です。。。(OK！！) ちょっと弱いとこも全部 包んであげる 見た目だって そう心だって 乙女計画進行中 Hey！！ You！！ もっとキラメキたいSummer！！ もっとトキメキたいSummer！！ 溢れ出す このキモチ「好きだよ」 Hey！！ You！！ ドキドキしていたいから グッと近づいてみるね 一生に二度とない 恋しよう knock knock してね My heart 夕暮れを待たずに この想い伝えよう 夏は一度きり Hey！！ You！！ もっとキラメキたいSummer！！ もっとトキメキたいSummer！！ この夏も キミのこと「好きだよ」 Hey！！ You！！ ずっと見つめてたいから ちゃんと微笑んでいてね 太陽にキスをして 恋しよう knock knock してね My heart YA-YA Summer Summer Summer de I LOVE YOU！！！
15,音nanoco,"
Fullfull Pocket",多田慎也,多田慎也,大キライだった声で 思い切って歌ってみた時 ah 君が微笑ってくれたんだった Don't stop Don't stop 人生は今日も難解だ Can't stop Can't stop 取り替えて(無理) Don't stop Don't stop 音楽は鳴る ラッタッタ 味方 夕焼け空に また明日 どんなときも歌いながら どんなときも歌いながら らりるりら らりるりら (さあ 行きましょう！！ ) ふわり ふわり 飛び立って 君に会いに ああ 行きたいな 鍵はかかっていますか？ ドアを コン コン コン コン まさか まさか 約束を忘れたわけではあるまいな？ ２拍目裏の待ち合わせ 音に紛れて 音と遊んで 音に隠れて 素直じゃないけど許して(ポンポン) 音nanocoだもん 自信なんてなかったけれど 君が手を叩いてくれた時 ah 夢に名前をつけたんだった Don't stop Don't stop どうしたらいいか考えた Can't stop Can't stop ひとりでは(無理) Don't stop Don't stop 音楽は鳴る ラッタッタ 味方 大きな声で また明日 どんなときも歌いながら どんなときも歌いながら らりるりら らりるりら (さあ 行きましょう！！) ゆらり ゆらり風乗って 雲のように ああ 生きたいな 胸に誰かがいますか？ ドアをコン コン コン コン 是非に是非に この先も 盛り上がっていこうではないか ２拍目裏の待ち合わせ 音に紛れて 音と遊んで 音に隠れて 素直じゃないけど許して(ポンポン) 音nanocoだもん ah ah ah もういいかい？ ah ah ah もういいよ 大切なことは みんなみんなかくれんぼ ふわり ふわり 飛び立って 君に会いに ああ 行きたいな 鍵はかかっていますか？ ドアを コン コン コン コン まさか まさか 約束を忘れたわけではあるまいな？(oh oh) ２拍目裏の待ち合わせ 音に紛れて 音と遊んで 音に隠れて 素直じゃないけど許して(ポンポン) 音nanocoだもん
16,ナツカレ★バケーション,"
SUPER☆GiRLS",Litz,多田慎也,GO FIGHT！ x 6 ワンツー せーの ススメ ススメ 恋ヨ ススメ ススメ ススメ 恋ヨ ススメ 白い砂浜 ビキニで誘惑 恋する彼は波乗りサーフライダー 水着の写真 送ってなんて「誰にでもこう言うコト言う人なの？」 既読スルーされてショッキング↓ ふたりの夏の恋は 永久保存の燃えるような恋しようよ！ 夏だ！ GO GO GO サマー ナツカレにダイビング 愛 I ウォンチュー 私コイシテル キュートな笑顔が(chu chu chu)キュンとなったよ こんなにハートが 夏い夏いナツカレ★バケーション GO GO GO ウェーブ ナツカレはサンライズ 愛 I ウォンチュー 私コイシテル 名前呼ぶ声で(chu chu chu)キュンとなったよ ワタシいつだって本気デス サマーサマーLOVE サマーサマーGO GO FIGHT！ 裸足のビーチ 光るパラソル ヒソヒソ恋バナ妄想継続中 サングラス越しの瞳 焼けた背中の彼に 友達諸君 今 背中を押してプリーズ 夏だ！ GO GO GO サマー ナツカレにダイビング 愛 I ウォンチュー 私コイシテル 腕組んでいいですか(chu chu chu) 次のデートは… こんなにハートが 夏い夏いナツカレ★バケーション GO GO GO ウェーブ ナツカレはサンライズ 愛 I ウォンチュー 私コイシテル 名前呼ぶ声で(chu chu chu)キュンとなったよ ワタシいつだって本気デス サマーサマーLOVE サマーサマーGO GO FIGHT！ GO FIGHT！ x 4 偶然見つけたあの日から私はあなたが 「好きです。」 ススメ GO GO GO ガール まっすぐ恋セヨ 片想い 夏の花火へと 打ち上がれ高く(泣くな) 綺麗な景色ね こんなに笑って泣いた夏は二度と来ないんじゃない？！ GO GO GO ウェーブ ナツカレはサンライズ 愛 I ウォンチュー 私コイシテル 名前呼ぶ声で(chu chu chu)キュンとなったよ ワタシいつだって本気デス サマーサマーLOVE サマーサマーGO GO FIGHT！ ススメ ススメ 恋ヨ ススメ ススメ ススメ ナツカレ★ナツカレ
17,"Memories, Stories","
佐々木彩夏(ももいろクローバーZ)",多田慎也,多田慎也,君に届け 昨日がどんなに輝いていたか ちょっとだけまだ 寂しくもなるよ 本当はね 未来の森 迷うウサギ 白く白くあろうとして 自分だけの物語を描こう ありがとうずっと忘れないよ 私らしさを 教えてくれた さよならも出会った証だよね 思い出たちを 抱きしめながら 君はどうして いつでも優しく微笑ってくれたの 強さの意味 今ならわかるよ 本当だね 独りきりが 怖いウサギ 高い空を飛ぼうとして 自分という旅は今日も続く ありがとう今もあたたかいよ 笑顔だらけの 何気ない日も まっすぐで綺麗な あの瞳で どんな明日を 見つめてますか 手を伸ばしても 今は届かないけれど 同じ空の下 見守ってくれますか 「まだ好きだよ」なんて言わないから 心にそっとしまっておくね ありがとうずっと忘れないよ 私らしさを 教えてくれた さよならも出会った証だよね 思い出たちを 抱きしめながら
